Device/Package xc7a200tfbg676 4/30/2012 11:17:41                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
R11   DXN_0                         NA                 0     NA            NA                  CONFIG    NA
M12   VCCADC_0                      NA                 0     NA            NA                  CONFIG    NA
M11   GNDADC_0                      NA                 0     NA            NA                  CONFIG    NA
R12   DXP_0                         NA                 0     NA            NA                  CONFIG    NA
N11   VREFN_0                       NA                 0     NA            NA                  CONFIG    NA
P12   VREFP_0                       NA                 0     NA            NA                  CONFIG    NA
N12   VP_0                          NA                 0     NA            NA                  CONFIG    NA
P11   VN_0                          NA                 0     NA            NA                  CONFIG    NA
G14   VCCBATT_0                     NA                 0     NA            NA                  CONFIG    NA
H13   CCLK_0                        NA                 0     NA            NA                  CONFIG    NA
H12   TCK_0                         NA                 0     NA            NA                  CONFIG    NA
H11   TMS_0                         NA                 0     NA            NA                  CONFIG    NA
J10   TDO_0                         NA                 0     NA            NA                  CONFIG    NA
H10   TDI_0                         NA                 0     NA            NA                  CONFIG    NA
V11   INIT_B_0                      NA                 0     NA            NA                  CONFIG    NA
AE16  PROGRAM_B_0                   NA                 0     NA            NA                  CONFIG    NA
AB15  CFGBVS_0                      NA                 0     NA            NA                  CONFIG    NA
W10   DONE_0                        NA                 0     NA            NA                  CONFIG    NA
W9    M2_0                          NA                 0     NA            NA                  CONFIG    NA
AB7   M0_0                          NA                 0     NA            NA                  CONFIG    NA
Y9    M1_0                          NA                 0     NA            NA                  CONFIG    NA
AB22  IO_0_12                       NA                 12    NA            NA                  HR        7A100T
AE25  IO_L1P_T0_12                  0                  12    NA            NA                  HR        7A100T
AE26  IO_L1N_T0_12                  0                  12    NA            NA                  HR        7A100T
AC22  IO_L2P_T0_12                  0                  12    NA            NA                  HR        7A100T
AC23  IO_L2N_T0_12                  0                  12    NA            NA                  HR        7A100T
AF24  IO_L3P_T0_DQS_12              0                  12    NA            NA                  HR        7A100T
AF25  IO_L3N_T0_DQS_12              0                  12    NA            NA                  HR        7A100T
AD25  IO_L4P_T0_12                  0                  12    NA            NA                  HR        7A100T
AD26  IO_L4N_T0_12                  0                  12    NA            NA                  HR        7A100T
AE23  IO_L5P_T0_12                  0                  12    NA            NA                  HR        7A100T
