#Top: saturn_top_wrapper   Floorplan: rtl_1   Part: xc7a200tfbg676-2
#Generated by: laure   on: Fri Dec 13 10:20:12 2024
#Build: Vivado v2023.1   by: xbuild   on: Sun May  7 15:05:29 MDT 2023
#Package Version: FINAL 2012-06-20
#Package Pin Delay Version: FINAL VERS. 2.0 2012-06-20

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
15,H18,IOB_X0Y179,IO_L10N_T1_AD11N_15,69.756,70.458,,CLK_IN_D_63236,ADC2_CLKin_N,IN,N,ADC2_CLKin_P,LVDS_25,,,,,,,,,,,,,
15,J18,IOB_X0Y180,IO_L10P_T1_AD11P_15,55.567,56.125,,CLK_IN_D_63236,ADC2_CLKin_P,IN,P,ADC2_CLKin_N,LVDS_25,,,,,,,,,,,,,
15,M15,IOB_X0Y190,IO_L5P_T0_AD9P_15,67.738,68.419,,ATTN_CLK_10916,ADC1_ATTEN_CLK,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,H23,IOB_X0Y171,IO_L14N_T2_SRCC_15,82.741,83.573,,CLK_IN_D_14277,ADC1_CLKin_N,IN,N,ADC1_CLKin_P,LVDS_25,,,,,,,,,,,,,
15,J23,IOB_X0Y172,IO_L14P_T2_SRCC_15,80.613,81.423,,CLK_IN_D_14277,ADC1_CLKin_P,IN,P,ADC1_CLKin_N,LVDS_25,,,,,,,,,,,,,
14,N18,IOB_X0Y137,IO_L6N_T0_D08_VREF_14,47.606,48.084,,ATTN_CLK_60005,ADC2_ATTEN_CLK,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,H21,IOB_X0Y174,IO_L13P_T2_MRCC_15,74.575,75.324,,CLK.CLOCK_122_IN_P_25846,clock_122_in_p,IN,P,clock_122_in_n,LVDS_25,,,,,,,,,,,,,
15,H22,IOB_X0Y173,IO_L13N_T2_MRCC_15,73.736,74.478,,CLK.CLOCK_122_IN_P_25846,clock_122_in_n,IN,N,clock_122_in_p,LVDS_25,,,,,,,,,,,,,
13,U24,IOB_X0Y99,IO_0_13,83.627,84.468,,CLK.BCLK_59121,BCLK,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,V24,IOB_X0Y88,IO_L6P_T0_13,116.472,117.642,,CLK.MCLK_25846,MCLK,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
14,P16,IOB_X0Y143,IO_L3N_T0_DQS_EMCCLK_14,66.879,67.551,,CLK.EMC_CLK_25846,EMC_CLK,IN,,,LVCMOS33,,,,,,,,,,,,,
35,A3,IOB_X1Y160,IO_L20P_T3_35,148.521,150.013,,a_intf_46650,pcb_version_id[3],IN,,,LVCMOS33,,,,,,,PULLUP,,,,,,
35,B2,IOB_X1Y161,IO_L19N_T3_VREF_35,128.382,129.672,,a_intf_46650,pcb_version_id[2],IN,,,LVCMOS33,,,,,,,PULLUP,,,,,,
35,C2,IOB_X1Y162,IO_L19P_T3_35,127.727,129.011,,a_intf_46650,pcb_version_id[1],IN,,,LVCMOS33,,,,,,,PULLUP,,,,,,
35,E3,IOB_X1Y163,IO_L18N_T2_35,118.499,119.689,,a_intf_46650,pcb_version_id[0],IN,,,LVCMOS33,,,,,,,PULLUP,,,,,,
14,P18,IOB_X0Y138,IO_L6P_T0_FCS_B_14,54.346,54.892,,PROM_SPI_25846,PROM_SPI_ss_io[0],INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
14,R14,IOB_X0Y148,IO_L1P_T0_D00_MOSI_14,82.442,83.270,,PROM_SPI_25846,PROM_SPI_io0_io,INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
14,R15,IOB_X0Y147,IO_L1N_T0_D01_DIN_14,83.146,83.981,,PROM_SPI_25846,PROM_SPI_io1_io,INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
14,P14,IOB_X0Y146,IO_L2P_T0_D02_14,77.067,77.841,,PROM_SPI_25846,PROM_SPI_io2_io,INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
14,N14,IOB_X0Y145,IO_L2N_T0_D03_14,79.439,80.237,,PROM_SPI_25846,PROM_SPI_io3_io,INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,V23,IOB_X0Y80,IO_L10P_T1_13,94.656,95.608,,CLK.LRCLK_59121,LRCLK,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
216,A11,IPAD_X1Y36,MGTPRXN0_216,101.224,102.242,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_rxn[3],IN,,,,,,,,,,,,,,,,
216,C14,IPAD_X1Y42,MGTPRXN1_216,76.639,77.409,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_rxn[2],IN,,,,,,,,,,,,,,,,
216,A13,IPAD_X1Y54,MGTPRXN2_216,97.782,98.765,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_rxn[1],IN,,,,,,,,,,,,,,,,
216,C12,IPAD_X1Y60,MGTPRXN3_216,68.112,68.797,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_rxn[0],IN,,,,,,,,,,,,,,,,
216,A7,OPAD_X0Y8,MGTPTXN0_216,130.942,132.258,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_txn[3],OUT,,,,12,,,,,,,,,,,,
216,C8,OPAD_X0Y10,MGTPTXN1_216,104.549,105.599,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_txn[2],OUT,,,,12,,,,,,,,,,,,
216,A9,OPAD_X0Y12,MGTPTXN2_216,104.068,105.114,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_txn[1],OUT,,,,12,,,,,,,,,,,,
216,C10,OPAD_X0Y14,MGTPTXN3_216,80.185,80.991,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_txn[0],OUT,,,,12,,,,,,,,,,,,
216,B11,IPAD_X1Y37,MGTPRXP0_216,100.582,101.592,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_rxp[3],IN,,,,,,,,,,,,,,,,
216,D14,IPAD_X1Y43,MGTPRXP1_216,76.648,77.418,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_rxp[2],IN,,,,,,,,,,,,,,,,
